size,R_cut,grid,eta_eV,median_Gamma_Ncells_meV,argmax_E_minus_ED_eV
12x12,1,120,0.02,2475.6320,-1.4646
12x12,1,240,0.01,2480.1158,-1.4097
12x12,1,240,0.02,2475.3196,-1.4073
12x12,2,120,0.01,2446.9553,-1.4097
12x12,2,120,0.02,2444.7402,-1.3570
12x12,2,240,0.01,2461.6257,-1.2921
12x12,2,240,0.02,2453.8468,-1.2921
12x12,3,120,0.01,2464.7444,-1.4097
12x12,3,120,0.02,2460.4691,-1.3570
12x12,3,240,0.01,2461.8980,-1.1832
12x12,3,240,0.02,2458.7355,-1.2921
